lag1_log,lag2_log,lag3_log,lag4_log,wow_pct_lag1,wow_pct_lag2,roll4_mean_log,roll4_std_log,month_sin,month_cos,week_sin,week_cos,is_onset_zone,is_peak_zone,flu_search_index_lag1,target,date,season,weekly_admissions,roll4
7.408530566894626,7.554858521040676,7.689828668736484,7.8628820346414905,-13.619696176008379,-12.631578947368416,7.643123474976045,6.008543558518606,1.0,6.123233995736766e-17,-0.7980172272802389,-0.6026346363792572,0,0,9.666666666666666,7.317876198626496,2023-03-04,2022-23,1506.0,2085.25
7.317876198626496,7.408530566894626,7.554858521040676,7.689828668736484,-8.671922377198305,-13.619696176008379,7.502876094243522,5.70478434852426,1.0,6.123233995736766e-17,-0.895163291355062,-0.44573835577653886,0,0,7.666666666666667,7.22402480828583,2023-03-11,2022-23,1371.0,1812.25
7.22402480828583,7.317876198626496,7.408530566894626,7.554858521040676,-8.964143426294823,-8.671922377198305,7.383834166418293,5.4428966511533545,1.0,6.123233995736766e-17,-0.961825643172819,-0.2736629900720831,0,0,7.666666666666667,7.252762418053187,2023-03-18,2022-23,1411.0,1608.75
7.252762418053187,7.22402480828583,7.317876198626496,7.408530566894626,2.9175784099197744,-8.964143426294823,7.303338387235851,4.824847400170334,1.0,6.123233995736766e-17,-0.9957341762950346,-0.09226835946330192,0,0,7.666666666666667,7.197435354096591,2023-03-25,2022-23,1335.0,1484.25
7.197435354096591,7.252762418053187,7.22402480828583,7.317876198626496,-5.386250885896526,2.9175784099197744,7.249037358313388,4.313349293990279,0.8660254037844387,-0.49999999999999983,-0.9957341762950345,0.09226835946330243,0,0,7.666666666666667,7.1631723908466425,2023-04-01,2022-23,1290.0,1405.75
7.1631723908466425,7.197435354096591,7.252762418053187,7.22402480828583,-3.3707865168539297,-5.386250885896526,7.209894836522845,3.9619214983985813,0.8660254037844387,-0.49999999999999983,-0.961825643172819,0.2736629900720828,0,0,6.0,7.089243155027514,2023-04-08,2022-23,1198.0,1351.75
7.089243155027514,7.1631723908466425,7.197435354096591,7.252762418053187,-7.131782945736431,-3.3707865168539297,7.1774006639477665,4.499768053940182,0.8660254037844387,-0.49999999999999983,-0.8951632913550626,0.4457383557765377,0,0,6.0,6.983789965258135,2023-04-15,2022-23,1078.0,1308.5
6.983789965258135,7.089243155027514,7.1631723908466425,7.197435354096591,-10.016694490818034,-7.131782945736431,7.111716010879573,4.740779976003462,0.8660254037844387,-0.49999999999999983,-0.7980172272802397,0.6026346363792562,0,0,6.0,6.8885724595653635,2023-04-22,2022-23,980.0,1225.25
6.8885724595653635,6.983789965258135,7.089243155027514,7.1631723908466425,-9.090909090909093,-10.016694490818034,7.036588150825105,4.917928255557853,0.8660254037844387,-0.49999999999999983,-0.6736956436465578,0.7390089172206585,0,0,6.0,6.806829360392176,2023-04-29,2022-23,903.0,1136.5
6.806829360392176,6.8885724595653635,6.983789965258135,7.089243155027514,-7.857142857142863,-9.090909090909093,6.947696886075085,4.856010279137143,0.49999999999999994,-0.8660254037844387,-0.5264321628773562,0.8502171357296139,0,0,6.0,6.899723107284872,2023-05-06,2022-23,991.0,1039.75
6.899723107284872,6.806829360392176,6.8885724595653635,6.983789965258135,9.745293466223703,-7.857142857142863,6.8966943316227125,4.285551962003467,0.49999999999999994,-0.8660254037844387,-0.36124166618715303,0.9324722294043558,0,0,5.333333333333333,6.8885724595653635,2023-05-13,2022-23,980.0,988.0
6.8885724595653635,6.899723107284872,6.806829360392176,6.8885724595653635,-1.1099899091826404,9.745293466223703,6.871609832345784,3.729668660660124,0.49999999999999994,-0.8660254037844387,-0.18374951781657006,0.9829730996839018,0,0,5.333333333333333,7.02197642307216,2023-05-20,2022-23,1120.0,963.5
7.02197642307216,6.8885724595653635,6.899723107284872,6.806829360392176,14.28571428571428,-1.1099899091826404,6.907255153940455,4.510472705722927,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,0,0,5.333333333333333,6.881411303642535,2023-05-27,2022-23,973.0,998.5
7.389563953677635,7.292337176173877,7.106606137727303,7.013915474810528,10.217983651226149,20.42657916324857,7.2115567333138015,5.446373378643208,-0.5000000000000004,0.8660254037844384,0.6736956436465572,0.7390089172206591,1,0,14.666666666666666,7.612336837167746,2023-11-04,2023-24,2022.0,1354.0
7.612336837167746,7.389563953677635,7.292337176173877,7.106606137727303,24.9690976514215,10.217983651226149,7.366919119424236,5.821512676082376,-0.5000000000000004,0.8660254037844384,0.7980172272802395,0.6026346363792564,1,0,15.0,7.932721027481948,2023-11-11,2023-24,2786.0,1581.75
7.932721027481948,7.612336837167746,7.389563953677635,7.292337176173877,37.78437190900099,24.9690976514215,7.588070480726704,6.3818728937270475,-0.5000000000000004,0.8660254037844384,0.8951632913550623,0.4457383557765383,1,0,15.0,8.160803920954665,2023-11-18,2023-24,3500.0,1973.5
8.160803920954665,7.932721027481948,7.612336837167746,7.389563953677635,25.628140703517598,37.78437190900099,7.817021395919328,6.72747169127812,-0.5000000000000004,0.8660254037844384,0.961825643172819,0.273662990072083,1,0,15.0,8.387312270561717,2023-11-25,2023-24,4390.0,2481.5
8.387312270561717,8.160803920954665,7.932721027481948,7.612336837167746,25.428571428571423,25.628140703517598,8.06322037924303,6.9190670614691685,-2.4492935982947064e-16,1.0,0.9957341762950345,0.09226835946330202,1,0,15.0,8.694167141883597,2023-12-02,2023-24,5967.0,3174.5
8.694167141883597,8.387312270561717,8.160803920954665,7.932721027481948,35.92255125284738,25.428571428571423,8.33369093787412,7.224263961833785,-2.4492935982947064e-16,1.0,0.9957341762950346,-0.09226835946330189,1,0,21.333333333333332,8.921991410536698,2023-12-09,2023-24,7494.0,4160.75
8.921991410536698,8.694167141883597,8.387312270561717,8.160803920954665,25.590749120160883,35.92255125284738,8.582746822155677,7.475147220680856,-2.4492935982947064e-16,1.0,0.961825643172819,-0.2736629900720829,1,1,21.333333333333332,9.240190393945069,2023-12-16,2023-24,10302.0,5337.75
9.240190393945069,8.921991410536698,8.694167141883597,8.387312270561717,37.46997598078463,25.590749120160883,8.85925690938602,7.831606890521731,-2.4492935982947064e-16,1.0,0.8951632913550626,-0.4457383557765378,0,1,21.333333333333332,9.665357258913595,2023-12-23,2023-24,15761.0,7038.25
9.665357258913595,9.240190393945069,8.921991410536698,8.694167141883597,52.98971073577945,37.46997598078463,9.198470199405696,8.369288382448005,-2.4492935982947064e-16,1.0,0.7980172272802396,-0.6026346363792563,0,1,21.333333333333332,9.987185111557695,2023-12-30,2023-24,21745.0,9881.0
9.987185111557695,9.665357258913595,9.240190393945069,8.921991410536698,37.9671340650974,52.98971073577945,9.534342319600775,8.748033451031223,0.49999999999999994,0.8660254037844387,0.6736956436465571,-0.7390089172206593,0,1,21.333333333333332,9.881753060390121,2024-01-06,2023-24,19569.0,13825.5
9.881753060390121,9.987185111557695,9.665357258913595,9.240190393945069,-10.006898137502873,37.9671340650974,9.731823996929693,8.520158811437785,0.49999999999999994,0.8660254037844387,0.5264321628773561,-0.850217135729614,0,1,18.0,9.676900579444158,2024-01-13,2023-24,15944.0,16844.25
9.676900579444158,9.881753060390121,9.987185111557695,9.665357258913595,-18.524196433134044,-10.006898137502873,9.812235377880134,7.977492929124596,0.49999999999999994,0.8660254037844387,0.3612416661871533,-0.9324722294043557,0,1,18.0,9.497697391604019,2024-01-20,2023-24,13328.0,18254.75
9.497697391604019,9.676900579444158,9.881753060390121,9.987185111557695,-16.407425990968395,-18.524196433134044,9.778349409269627,8.228046707814162,0.49999999999999994,0.8660254037844387,0.18374951781657037,-0.9829730996839018,0,0,18.0,9.473396704601559,2024-01-27,2023-24,13008.0,17646.5
9.473396704601559,9.497697391604019,9.676900579444158,9.881753060390121,-2.400960384153661,-16.407425990968395,9.646221519970682,8.0190583196689,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0,0,18.0,9.391327705757,2024-02-03,2023-24,11983.0,15462.25
9.391327705757,9.473396704601559,9.497697391604019,9.676900579444158,-7.879766297662972,-2.400960384153661,9.515377225249853,7.43076525142871,0.8660254037844386,0.5000000000000001,-0.18374951781657012,-0.9829730996839018,0,0,16.666666666666668,9.363490551469857,2024-02-10,2023-24,11654.0,13565.75
9.363490551469857,9.391327705757,9.473396704601559,9.497697391604019,-2.745556204623212,-7.879766297662972,9.433023817457936,6.687541106611893,0.8660254037844386,0.5000000000000001,-0.3612416661871527,-0.9324722294043559,0,0,16.666666666666668,9.320628725870305,2024-02-17,2023-24,11165.0,12493.25
9.320628725870305,9.363490551469857,9.391327705757,9.473396704601559,-4.195984211429549,-2.745556204623212,9.388779401505913,6.660320370909705,0.8660254037844386,0.5000000000000001,-0.5264321628773558,-0.8502171357296141,0,0,16.666666666666668,9.296609807128359,2024-02-24,2023-24,10900.0,11952.5
9.296609807128359,9.320628725870305,9.363490551469857,9.391327705757,-2.37348858038513,-4.195984211429549,9.34369049817294,6.187165098673334,1.0,6.123233995736766e-17,-0.6736956436465572,-0.7390089172206591,0,0,16.666666666666668,9.290998274993637,2024-03-02,2023-24,10839.0,11425.5
9.290998274993637,9.296609807128359,9.320628725870305,9.363490551469857,-0.5596330275229322,-2.37348858038513,9.31834239577746,5.919012187447315,1.0,6.123233995736766e-17,-0.7980172272802389,-0.6026346363792572,0,0,11.333333333333334,9.153134898205403,2024-03-09,2023-24,9443.0,11139.5
9.153134898205403,9.290998274993637,9.296609807128359,9.320628725870305,-12.879416920380105,-0.5596330275229322,9.26745295143242,6.654822105159532,1.0,6.123233995736766e-17,-0.895163291355062,-0.44573835577653886,0,0,11.333333333333334,8.90136656405678,2024-03-16,2023-24,7341.0,10586.75
8.90136656405678,9.153134898205403,9.290998274993637,9.296609807128359,-22.25987503971195,-12.879416920380105,9.172820212062259,7.420123392233599,1.0,6.123233995736766e-17,-0.961825643172819,-0.2736629900720831,0,0,11.333333333333334,8.70748291785937,2024-03-23,2023-24,6047.0,9630.75
8.70748291785937,8.90136656405678,9.153134898205403,9.290998274993637,-17.62702629069609,-22.25987503971195,9.038186944097854,7.667375348713784,1.0,6.123233995736766e-17,-0.9957341762950346,-0.09226835946330192,0,0,11.333333333333334,8.627660644442209,2024-03-30,2023-24,5583.0,8417.5
8.627660644442209,8.70748291785937,8.90136656405678,9.153134898205403,-7.673226393252852,-17.62702629069609,8.86848366507813,7.455288834949996,0.8660254037844387,-0.49999999999999983,-0.9957341762950345,0.09226835946330243,0,0,11.333333333333334,8.532672762264625,2024-04-06,2023-24,5077.0,7103.5
8.532672762264625,8.627660644442209,8.70748291785937,8.90136656405678,-9.063227655382411,-7.673226393252852,8.70167907103957,6.8788627018113395,0.8660254037844387,-0.49999999999999983,-0.961825643172819,0.2736629900720828,0,0,9.666666666666666,8.314587291319576,2024-04-13,2023-24,4082.0,6012.0
8.314587291319576,8.532672762264625,8.627660644442209,8.70748291785937,-19.598187906243847,-9.063227655382411,8.556077309466204,6.7374900079065485,0.8660254037844387,-0.49999999999999983,-0.8951632913550626,0.4457383557765377,0,0,9.666666666666666,7.989560449333865,2024-04-20,2023-24,2949.0,5197.25
7.989560449333865,8.314587291319576,8.532672762264625,8.627660644442209,-27.756001959823617,-19.598187906243847,8.394743031659672,7.060179431307796,0.8660254037844387,-0.49999999999999983,-0.7980172272802397,0.6026346363792562,0,0,9.666666666666666,7.792348924113037,2024-04-27,2023-24,2421.0,4422.75
7.792348924113037,7.989560449333865,8.314587291319576,8.532672762264625,-17.904374364191256,-27.756001959823617,8.19788284350628,7.0796277739011275,0.49999999999999994,-0.8660254037844387,-0.6736956436465578,0.7390089172206585,0,0,9.666666666666666,7.305860032684009,2024-05-04,2023-24,1488.0,3632.25
7.305860032684009,7.792348924113037,7.989560449333865,8.314587291319576,-38.53779429987608,-17.904374364191256,7.914252278742441,6.987723166433523,0.49999999999999994,-0.8660254037844387,-0.5264321628773562,0.8502171357296139,0,0,6.666666666666667,6.748759547491679,2024-05-11,2023-24,852.0,2735.0
6.748759547491679,7.305860032684009,7.792348924113037,7.989560449333865,-42.74193548387096,-38.53779429987608,7.564497777648283,6.844310559041318,0.49999999999999994,-0.8660254037844387,-0.36124166618715303,0.9324722294043558,0,0,6.666666666666667,6.525029657843462,2024-05-18,2023-24,681.0,1927.5
