seed,horizon,model,split,mae,rmse
3,2,LightGBM,test,4913.617728863682,7995.114612857637
3,2,Ridge,val,5564.4317722801325,9434.151337166622
3,2,Ridge,test,3939.4320545488736,7810.7281540606355
3,2,Rolling Mean,val,11183.316666666668,14028.674211533082
3,2,Rolling Mean,test,7325.725,10743.304603430144
4,2,MLP,val,5651.555873942546,8327.024032688372
4,2,MLP,test,3615.199991337214,6635.9434744972
4,2,XGBoost,val,8674.603077500446,13280.72218592258
4,2,XGBoost,test,4419.762218723102,7410.335682915169
4,2,LightGBM,val,9550.7999951047,14257.340921571636
4,2,LightGBM,test,4739.171848731856,7829.336156258608
4,2,Ridge,val,5564.4317722801325,9434.151337166622
4,2,Ridge,test,3939.4320545488736,7810.7281540606355
4,2,Rolling Mean,val,11183.316666666668,14028.674211533082
4,2,Rolling Mean,test,7325.725,10743.304603430144
5,2,MLP,val,5278.466201709397,8949.05408107517
5,2,MLP,test,3138.6924307889617,6442.384715560377
5,2,XGBoost,val,8422.668777017116,12965.92412704734
5,2,XGBoost,test,4470.273556235783,7610.292540673978
5,2,LightGBM,val,9494.037316091566,14202.925715018424
5,2,LightGBM,test,4775.381283028272,7963.489670793288
5,2,Ridge,val,5564.4317722801325,9434.151337166622
5,2,Ridge,test,3939.4320545488736,7810.7281540606355
5,2,Rolling Mean,val,11183.316666666668,14028.674211533082
5,2,Rolling Mean,test,7325.725,10743.304603430144
6,2,MLP,val,5171.894923880482,8456.708438299838
6,2,MLP,test,3293.027688467757,6269.276801674408
6,2,XGBoost,val,8563.974674109644,12906.113732715045
6,2,XGBoost,test,4518.943171894226,7675.596427275425
6,2,LightGBM,val,9736.362200393354,14577.405196139303
6,2,LightGBM,test,4865.102943050997,8026.513405920058
6,2,Ridge,val,5564.4317722801325,9434.151337166622
6,2,Ridge,test,3939.4320545488736,7810.7281540606355
6,2,Rolling Mean,val,11183.316666666668,14028.674211533082
6,2,Rolling Mean,test,7325.725,10743.304603430144
7,2,MLP,val,5858.633466570348,9103.637347707152
7,2,MLP,test,3693.742594559155,6819.729392022807
7,2,XGBoost,val,8563.134148775927,13133.397992355149
7,2,XGBoost,test,4535.782587642967,7646.382665425642
7,2,LightGBM,val,9691.666309452883,14372.021663914747
7,2,LightGBM,test,4805.298927618886,8019.254600950773
7,2,Ridge,val,5564.4317722801325,9434.151337166622
7,2,Ridge,test,3939.4320545488736,7810.7281540606355
7,2,Rolling Mean,val,11183.316666666668,14028.674211533082
7,2,Rolling Mean,test,7325.725,10743.304603430144
8,2,MLP,val,6443.64271501876,10288.045259676483
8,2,MLP,test,3649.6457333218987,7190.9274584994555
8,2,XGBoost,val,8605.681781512498,13169.169072757173
