date,weekly_admissions,weekly_rate_per100k
2025-06-07,1534.0,0.451029238726036
2025-06-14,1519.0,0.446618913705899
2025-06-21,1364.0,0.401045555164481
2025-06-28,1162.0,0.341653178226632
2025-07-05,1008.0,0.296373841353223
2025-07-12,970.0,0.285201017968875
2025-07-19,861.0,0.253152656155878
2025-07-26,891.0,0.261973306196153
2025-08-02,799.0,0.234923312739311
2025-08-09,762.0,0.224044511022972
2025-08-16,774.0,0.227572771039082
2025-08-23,801.0,0.235511356075329
2025-08-30,909.0,0.267265696220317
2025-09-06,980.0,0.288141234648967
2025-09-13,1012.0,0.29754992802526
2025-09-20,904.0,0.265795587880272
2025-09-27,1025.0,0.301372209709379
2025-10-04,976.0,0.28696514797693
2025-10-11,1016.0,0.298726014697296
2025-10-18,1119.0,0.329010246502239
2025-10-25,1199.0,0.352531979942971
2025-11-01,1358.0,0.399281425156426
2025-11-08,1787.0,0.525416720732351
2025-11-15,2487.0,0.731231888338756
2025-11-22,3585.0,1.0540676798128
2025-11-29,5222.0,1.53538115034378
2025-12-06,7452.0,2.19104947000419
2025-12-13,11161.0,3.28157583665012
2025-12-20,21106.0,6.20562132500112
2025-12-27,37632.0,11.0646234105203
2026-01-03,42648.0,12.5394360972542
2026-01-10,29968.0,8.81124134689821
2026-01-17,19782.0,5.81633663655701
2026-01-24,16819.0,4.94515043424589
2026-01-31,15751.0,4.63113529281212
2026-02-07,16119.0,4.73933526663949
2026-02-14,16447.0,4.83577437374649
2026-02-21,14736.0,4.33270329978283
2026-02-28,11171.0,3.28451605333021
2026-03-07,9610.0,2.82554822956793
2026-03-14,7804.0,2.29454509714341
2026-03-21,6097.0,1.79265010985179
2026-03-28,3313.0,0.974093786114314
2026-04-04,2902.0,0.853250880562553
2026-04-11,2243.0,0.659490601344523
2026-04-18,1948.0,0.572754209281824
2026-04-25,1883.0,0.553642800861229
2026-05-02,1650.0,0.485135752215098
2026-05-09,1475.0,0.433681960313496
2026-05-16,1310.0,0.385168385091986
2026-05-23,1251.0,0.367821106679447
2026-05-30,1063.0,0.312545033093726
2026-06-06,1017.0,0.299020036365306
2026-06-13,850.0,0.249918417807777
2026-06-20,764.0,0.224632554358991
2026-06-27,729.0,0.21434179597867
